episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
70.0,9.0,22.642045454545453,22.642045454545453,176,1,4000,False,176,1,72c4e18acda147c486d10d5870fbdef4,2020-08-16_04-57-38,1597553858,8.76279091835022,8.76279091835022,27608,ntozcc-dv-mlalo-vm,10.0.0.4,8.76279091835022,0,1,d793c_00002,2_lr=0.0001,"[11.0, 26.0, 18.0, 12.0, 12.0, 15.0, 35.0, 19.0, 14.0, 22.0, 19.0, 35.0, 27.0, 55.0, 20.0, 16.0, 12.0, 19.0, 27.0, 25.0, 16.0, 15.0, 17.0, 33.0, 14.0, 28.0, 28.0, 46.0, 11.0, 46.0, 24.0, 12.0, 14.0, 11.0, 12.0, 28.0, 44.0, 14.0, 20.0, 10.0, 14.0, 18.0, 30.0, 14.0, 12.0, 19.0, 20.0, 11.0, 13.0, 37.0, 10.0, 13.0, 11.0, 37.0, 33.0, 10.0, 49.0, 27.0, 18.0, 57.0, 21.0, 56.0, 12.0, 27.0, 11.0, 21.0, 14.0, 25.0, 15.0, 16.0, 26.0, 16.0, 13.0, 24.0, 12.0, 27.0, 12.0, 22.0, 16.0, 29.0, 16.0, 27.0, 39.0, 13.0, 33.0, 51.0, 32.0, 9.0, 12.0, 39.0, 29.0, 14.0, 20.0, 19.0, 34.0, 14.0, 11.0, 26.0, 12.0, 15.0, 26.0, 17.0, 20.0, 32.0, 23.0, 15.0, 26.0, 14.0, 15.0, 28.0, 15.0, 23.0, 17.0, 51.0, 16.0, 41.0, 26.0, 36.0, 47.0, 10.0, 12.0, 34.0, 16.0, 18.0, 21.0, 14.0, 14.0, 16.0, 15.0, 13.0, 18.0, 11.0, 20.0, 37.0, 20.0, 17.0, 57.0, 26.0, 29.0, 33.0, 12.0, 16.0, 27.0, 12.0, 21.0, 24.0, 31.0, 21.0, 15.0, 25.0, 12.0, 60.0, 33.0, 17.0, 18.0, 10.0, 13.0, 13.0, 19.0, 18.0, 20.0, 70.0, 39.0, 10.0, 38.0, 17.0, 12.0, 23.0, 33.0, 26.0, 25.0, 21.0, 18.0, 22.0, 26.0, 14.0]","[11, 26, 18, 12, 12, 15, 35, 19, 14, 22, 19, 35, 27, 55, 20, 16, 12, 19, 27, 25, 16, 15, 17, 33, 14, 28, 28, 46, 11, 46, 24, 12, 14, 11, 12, 28, 44, 14, 20, 10, 14, 18, 30, 14, 12, 19, 20, 11, 13, 37, 10, 13, 11, 37, 33, 10, 49, 27, 18, 57, 21, 56, 12, 27, 11, 21, 14, 25, 15, 16, 26, 16, 13, 24, 12, 27, 12, 22, 16, 29, 16, 27, 39, 13, 33, 51, 32, 9, 12, 39, 29, 14, 20, 19, 34, 14, 11, 26, 12, 15, 26, 17, 20, 32, 23, 15, 26, 14, 15, 28, 15, 23, 17, 51, 16, 41, 26, 36, 47, 10, 12, 34, 16, 18, 21, 14, 14, 16, 15, 13, 18, 11, 20, 37, 20, 17, 57, 26, 29, 33, 12, 16, 27, 12, 21, 24, 31, 21, 15, 25, 12, 60, 33, 17, 18, 10, 13, 13, 19, 18, 20, 70, 39, 10, 38, 17, 12, 23, 33, 26, 25, 21, 18, 22, 26, 14]",0.06099278793964229,0.14726086516166978,0.6691655109179554,4757.79,840.727,37.917,105494.523,3863.153,1035.424,2.294,4000,4000,71.64615384615384,32.323076923076925,0.20000000298023224,9.999999747378752e-05,75.90303,-0.047136243,75.94364,0.2214989,0.032647762,0.661457,0.0
176.0,10.0,46.58,46.58,73,1,8000,False,249,2,72c4e18acda147c486d10d5870fbdef4,2020-08-16_04-57-46,1597553866,7.303289890289307,16.066080808639526,27608,ntozcc-dv-mlalo-vm,10.0.0.4,16.066080808639526,0,2,d793c_00002,2_lr=0.0001,"[16.0, 24.0, 11.0, 55.0, 48.0, 40.0, 61.0, 63.0, 176.0, 46.0, 30.0, 108.0, 27.0, 51.0, 92.0, 50.0, 27.0, 57.0, 16.0, 16.0, 110.0, 44.0, 17.0, 37.0, 20.0, 56.0, 52.0, 92.0, 29.0, 13.0, 26.0, 46.0, 23.0, 56.0, 77.0, 26.0, 61.0, 22.0, 48.0, 35.0, 30.0, 47.0, 37.0, 55.0, 22.0, 14.0, 18.0, 31.0, 96.0, 77.0, 125.0, 14.0, 27.0, 61.0, 138.0, 89.0, 49.0, 39.0, 116.0, 48.0, 93.0, 149.0, 83.0, 29.0, 26.0, 111.0, 84.0, 19.0, 35.0, 84.0, 130.0, 113.0, 13.0, 25.0, 12.0, 60.0, 33.0, 17.0, 18.0, 10.0, 13.0, 13.0, 19.0, 18.0, 20.0, 70.0, 39.0, 10.0, 38.0, 17.0, 12.0, 23.0, 33.0, 26.0, 25.0, 21.0, 18.0, 22.0, 26.0, 14.0]","[16, 24, 11, 55, 48, 40, 61, 63, 176, 46, 30, 108, 27, 51, 92, 50, 27, 57, 16, 16, 110, 44, 17, 37, 20, 56, 52, 92, 29, 13, 26, 46, 23, 56, 77, 26, 61, 22, 48, 35, 30, 47, 37, 55, 22, 14, 18, 31, 96, 77, 125, 14, 27, 61, 138, 89, 49, 39, 116, 48, 93, 149, 83, 29, 26, 111, 84, 19, 35, 84, 130, 113, 13, 25, 12, 60, 33, 17, 18, 10, 13, 13, 19, 18, 20, 70, 39, 10, 38, 17, 12, 23, 33, 26, 25, 21, 18, 22, 26, 14]",0.06005375159650945,0.14110624462866977,0.6633595259165956,4083.053,979.659,19.669,203366.357,3872.736,1032.862,2.933,8000,8000,74.7,32.60000000000001,0.30000001192092896,9.999999747378752e-05,297.99493,-0.02843468,298.01752,0.16074884,0.019610802,0.6032842,0.0
200.0,13.0,78.77,78.77,31,1,12000,True,280,3,72c4e18acda147c486d10d5870fbdef4,2020-08-16_04-57-53,1597553873,7.361574172973633,23.42765498161316,27608,ntozcc-dv-mlalo-vm,10.0.0.4,23.42765498161316,0,3,d793c_00002,2_lr=0.0001,"[184.0, 200.0, 156.0, 169.0, 103.0, 93.0, 29.0, 151.0, 175.0, 122.0, 32.0, 110.0, 41.0, 200.0, 106.0, 89.0, 200.0, 77.0, 159.0, 200.0, 84.0, 93.0, 53.0, 200.0, 200.0, 96.0, 200.0, 24.0, 178.0, 132.0, 121.0, 48.0, 40.0, 61.0, 63.0, 176.0, 46.0, 30.0, 108.0, 27.0, 51.0, 92.0, 50.0, 27.0, 57.0, 16.0, 16.0, 110.0, 44.0, 17.0, 37.0, 20.0, 56.0, 52.0, 92.0, 29.0, 13.0, 26.0, 46.0, 23.0, 56.0, 77.0, 26.0, 61.0, 22.0, 48.0, 35.0, 30.0, 47.0, 37.0, 55.0, 22.0, 14.0, 18.0, 31.0, 96.0, 77.0, 125.0, 14.0, 27.0, 61.0, 138.0, 89.0, 49.0, 39.0, 116.0, 48.0, 93.0, 149.0, 83.0, 29.0, 26.0, 111.0, 84.0, 19.0, 35.0, 84.0, 130.0, 113.0, 13.0]","[184, 200, 156, 169, 103, 93, 29, 151, 175, 122, 32, 110, 41, 200, 106, 89, 200, 77, 159, 200, 84, 93, 53, 200, 200, 96, 200, 24, 178, 132, 121, 48, 40, 61, 63, 176, 46, 30, 108, 27, 51, 92, 50, 27, 57, 16, 16, 110, 44, 17, 37, 20, 56, 52, 92, 29, 13, 26, 46, 23, 56, 77, 26, 61, 22, 48, 35, 30, 47, 37, 55, 22, 14, 18, 31, 96, 77, 125, 14, 27, 61, 138, 89, 49, 39, 116, 48, 93, 149, 83, 29, 26, 111, 84, 19, 35, 84, 130, 113, 13]",0.05982053294187408,0.13798387988377864,0.6611360517627383,3872.733,1032.862,13.561,294963.273,3881.593,1030.505,2.792,12000,12000,76.32727272727274,32.60000000000001,0.30000001192092896,9.999999747378752e-05,618.7138,-0.015752628,618.7268,0.18361105,0.009089627,0.5672347,0.0
