episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
85.0,9.0,23.696428571428573,23.696428571428573,168,1,4000,False,168,1,05c26d88ed894ecdac44a8156ee61757,2020-08-16_04-57-10,1597553830,8.595356702804565,8.595356702804565,27520,ntozcc-dv-mlalo-vm,10.0.0.4,8.595356702804565,0,1,d793c_00001,1_lr=0.001,"[24.0, 15.0, 24.0, 27.0, 18.0, 13.0, 9.0, 27.0, 56.0, 18.0, 24.0, 20.0, 18.0, 85.0, 19.0, 18.0, 21.0, 40.0, 14.0, 19.0, 41.0, 30.0, 14.0, 18.0, 26.0, 11.0, 17.0, 16.0, 11.0, 15.0, 19.0, 20.0, 44.0, 11.0, 18.0, 16.0, 20.0, 13.0, 24.0, 17.0, 22.0, 19.0, 46.0, 38.0, 18.0, 22.0, 27.0, 35.0, 49.0, 27.0, 13.0, 19.0, 13.0, 16.0, 11.0, 24.0, 13.0, 35.0, 14.0, 23.0, 29.0, 14.0, 15.0, 32.0, 35.0, 17.0, 26.0, 24.0, 30.0, 9.0, 20.0, 16.0, 10.0, 16.0, 32.0, 21.0, 26.0, 27.0, 49.0, 17.0, 25.0, 28.0, 16.0, 17.0, 17.0, 15.0, 18.0, 14.0, 23.0, 22.0, 83.0, 25.0, 30.0, 33.0, 14.0, 25.0, 17.0, 14.0, 20.0, 12.0, 17.0, 35.0, 16.0, 43.0, 35.0, 15.0, 17.0, 26.0, 64.0, 45.0, 19.0, 13.0, 9.0, 12.0, 32.0, 39.0, 16.0, 17.0, 23.0, 14.0, 13.0, 11.0, 47.0, 17.0, 37.0, 18.0, 12.0, 24.0, 11.0, 19.0, 33.0, 29.0, 51.0, 21.0, 12.0, 26.0, 12.0, 52.0, 14.0, 24.0, 9.0, 20.0, 26.0, 15.0, 46.0, 14.0, 18.0, 17.0, 14.0, 19.0, 19.0, 12.0, 27.0, 15.0, 43.0, 25.0, 13.0, 12.0, 42.0, 17.0, 19.0, 32.0, 44.0, 58.0, 14.0, 25.0, 39.0, 10.0]","[24, 15, 24, 27, 18, 13, 9, 27, 56, 18, 24, 20, 18, 85, 19, 18, 21, 40, 14, 19, 41, 30, 14, 18, 26, 11, 17, 16, 11, 15, 19, 20, 44, 11, 18, 16, 20, 13, 24, 17, 22, 19, 46, 38, 18, 22, 27, 35, 49, 27, 13, 19, 13, 16, 11, 24, 13, 35, 14, 23, 29, 14, 15, 32, 35, 17, 26, 24, 30, 9, 20, 16, 10, 16, 32, 21, 26, 27, 49, 17, 25, 28, 16, 17, 17, 15, 18, 14, 23, 22, 83, 25, 30, 33, 14, 25, 17, 14, 20, 12, 17, 35, 16, 43, 35, 15, 17, 26, 64, 45, 19, 13, 9, 12, 32, 39, 16, 17, 23, 14, 13, 11, 47, 17, 37, 18, 12, 24, 11, 19, 33, 29, 51, 21, 12, 26, 12, 52, 14, 24, 9, 20, 26, 15, 46, 14, 18, 17, 14, 19, 19, 12, 27, 15, 43, 25, 13, 12, 42, 17, 19, 32, 44, 58, 14, 25, 39, 10]",0.05898997653159343,0.1433104820413549,0.6455953822556628,4604.558,868.705,37.677,106165.425,3846.573,1039.887,2.078,4000,4000,71.62307692307692,32.26923076923077,0.20000000298023224,0.0010000000474974513,102.87247,-0.045707263,102.91106,0.24328992,0.035563815,0.6572004,0.0
168.0,10.0,43.24,43.24,87,1,8000,False,255,2,05c26d88ed894ecdac44a8156ee61757,2020-08-16_04-57-17,1597553837,7.160340070724487,15.755696773529053,27520,ntozcc-dv-mlalo-vm,10.0.0.4,15.755696773529053,0,2,d793c_00001,1_lr=0.001,"[34.0, 69.0, 44.0, 25.0, 56.0, 23.0, 37.0, 11.0, 22.0, 24.0, 14.0, 27.0, 39.0, 14.0, 68.0, 31.0, 81.0, 122.0, 91.0, 37.0, 61.0, 62.0, 18.0, 14.0, 57.0, 106.0, 23.0, 42.0, 21.0, 37.0, 45.0, 97.0, 95.0, 21.0, 22.0, 76.0, 68.0, 12.0, 14.0, 56.0, 11.0, 66.0, 30.0, 12.0, 21.0, 19.0, 56.0, 27.0, 49.0, 59.0, 67.0, 13.0, 25.0, 66.0, 13.0, 74.0, 21.0, 50.0, 28.0, 16.0, 69.0, 44.0, 15.0, 28.0, 39.0, 18.0, 76.0, 78.0, 25.0, 53.0, 37.0, 30.0, 14.0, 11.0, 40.0, 105.0, 39.0, 27.0, 23.0, 53.0, 28.0, 21.0, 157.0, 168.0, 117.0, 48.0, 72.0, 25.0, 13.0, 12.0, 42.0, 17.0, 19.0, 32.0, 44.0, 58.0, 14.0, 25.0, 39.0, 10.0]","[34, 69, 44, 25, 56, 23, 37, 11, 22, 24, 14, 27, 39, 14, 68, 31, 81, 122, 91, 37, 61, 62, 18, 14, 57, 106, 23, 42, 21, 37, 45, 97, 95, 21, 22, 76, 68, 12, 14, 56, 11, 66, 30, 12, 21, 19, 56, 27, 49, 59, 67, 13, 25, 66, 13, 74, 21, 50, 28, 16, 69, 44, 15, 28, 39, 18, 76, 78, 25, 53, 37, 30, 14, 11, 40, 105, 39, 27, 23, 53, 28, 21, 157, 168, 117, 48, 72, 25, 13, 12, 42, 17, 19, 32, 44, 58, 14, 25, 39, 10]",0.058918849873125956,0.13886529193359418,0.6504402783128818,4020.941,994.792,19.468,205462.134,3779.484,1058.346,2.12,8000,8000,74.57,32.540000000000006,0.30000001192092896,0.0010000000474974513,268.9808,-0.035403274,269.00894,0.23753573,0.024423648,0.5924094,0.0
200.0,11.0,71.88,71.88,31,1,12000,True,286,3,05c26d88ed894ecdac44a8156ee61757,2020-08-16_04-57-24,1597553844,7.1555869579315186,22.91128373146057,27520,ntozcc-dv-mlalo-vm,10.0.0.4,22.91128373146057,0,3,d793c_00001,1_lr=0.001,"[143.0, 128.0, 165.0, 188.0, 161.0, 66.0, 41.0, 200.0, 193.0, 94.0, 101.0, 174.0, 200.0, 99.0, 71.0, 90.0, 187.0, 170.0, 161.0, 148.0, 200.0, 84.0, 72.0, 86.0, 125.0, 75.0, 70.0, 99.0, 63.0, 175.0, 126.0, 91.0, 37.0, 61.0, 62.0, 18.0, 14.0, 57.0, 106.0, 23.0, 42.0, 21.0, 37.0, 45.0, 97.0, 95.0, 21.0, 22.0, 76.0, 68.0, 12.0, 14.0, 56.0, 11.0, 66.0, 30.0, 12.0, 21.0, 19.0, 56.0, 27.0, 49.0, 59.0, 67.0, 13.0, 25.0, 66.0, 13.0, 74.0, 21.0, 50.0, 28.0, 16.0, 69.0, 44.0, 15.0, 28.0, 39.0, 18.0, 76.0, 78.0, 25.0, 53.0, 37.0, 30.0, 14.0, 11.0, 40.0, 105.0, 39.0, 27.0, 23.0, 53.0, 28.0, 21.0, 157.0, 168.0, 117.0, 48.0, 72.0]","[143, 128, 165, 188, 161, 66, 41, 200, 193, 94, 101, 174, 200, 99, 71, 90, 187, 170, 161, 148, 200, 84, 72, 86, 125, 75, 70, 99, 63, 175, 126, 91, 37, 61, 62, 18, 14, 57, 106, 23, 42, 21, 37, 45, 97, 95, 21, 22, 76, 68, 12, 14, 56, 11, 66, 30, 12, 21, 19, 56, 27, 49, 59, 67, 13, 25, 66, 13, 74, 21, 50, 28, 16, 69, 44, 15, 28, 39, 18, 76, 78, 25, 53, 37, 30, 14, 11, 40, 105, 39, 27, 23, 53, 28, 21, 157, 168, 117, 48, 72]",0.0588658875489393,0.13711624842891537,0.6503322282747955,3799.48,1052.776,13.399,298526.975,3782.634,1057.464,2.155,12000,12000,75.35000000000001,32.60000000000001,0.44999998807907104,0.0010000000474974513,603.70593,-0.016749667,603.7185,0.26224834,0.009388141,0.57746667,0.0
