episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
64.0,8.0,20.71502590673575,20.71502590673575,193,1,4000,False,193,1,20906ef27b4a42b5b9187e704e71f91f,2020-08-16_04-44-49,1597553089,8.621899127960205,8.621899127960205,26836,ntozcc-dv-mlalo-vm,10.0.0.4,8.621899127960205,0,1,1e5b7_00001,1_lr=0.001,"[19.0, 12.0, 46.0, 15.0, 15.0, 16.0, 26.0, 42.0, 11.0, 12.0, 15.0, 34.0, 9.0, 16.0, 14.0, 19.0, 12.0, 8.0, 16.0, 16.0, 45.0, 16.0, 13.0, 22.0, 17.0, 19.0, 11.0, 21.0, 35.0, 12.0, 31.0, 13.0, 15.0, 12.0, 27.0, 18.0, 35.0, 20.0, 27.0, 28.0, 18.0, 14.0, 19.0, 55.0, 9.0, 20.0, 13.0, 13.0, 12.0, 15.0, 64.0, 11.0, 14.0, 12.0, 23.0, 17.0, 13.0, 30.0, 19.0, 51.0, 14.0, 9.0, 14.0, 28.0, 29.0, 26.0, 11.0, 20.0, 11.0, 20.0, 23.0, 24.0, 13.0, 12.0, 28.0, 28.0, 12.0, 11.0, 32.0, 18.0, 25.0, 13.0, 11.0, 11.0, 13.0, 49.0, 39.0, 34.0, 16.0, 20.0, 24.0, 13.0, 13.0, 23.0, 32.0, 16.0, 14.0, 12.0, 15.0, 14.0, 11.0, 14.0, 21.0, 15.0, 14.0, 47.0, 11.0, 20.0, 10.0, 15.0, 10.0, 28.0, 16.0, 17.0, 25.0, 23.0, 14.0, 12.0, 25.0, 21.0, 31.0, 23.0, 19.0, 47.0, 37.0, 25.0, 32.0, 18.0, 14.0, 13.0, 46.0, 21.0, 23.0, 27.0, 10.0, 23.0, 14.0, 26.0, 29.0, 13.0, 25.0, 12.0, 29.0, 37.0, 15.0, 25.0, 9.0, 14.0, 22.0, 22.0, 23.0, 12.0, 20.0, 17.0, 13.0, 12.0, 29.0, 21.0, 18.0, 19.0, 15.0, 11.0, 16.0, 19.0, 39.0, 11.0, 12.0, 18.0, 13.0, 37.0, 20.0, 19.0, 43.0, 19.0, 41.0, 18.0, 40.0, 15.0, 15.0, 21.0, 11.0, 26.0, 30.0, 16.0, 15.0, 16.0, 18.0, 18.0, 36.0, 16.0, 10.0, 24.0, 24.0]","[19, 12, 46, 15, 15, 16, 26, 42, 11, 12, 15, 34, 9, 16, 14, 19, 12, 8, 16, 16, 45, 16, 13, 22, 17, 19, 11, 21, 35, 12, 31, 13, 15, 12, 27, 18, 35, 20, 27, 28, 18, 14, 19, 55, 9, 20, 13, 13, 12, 15, 64, 11, 14, 12, 23, 17, 13, 30, 19, 51, 14, 9, 14, 28, 29, 26, 11, 20, 11, 20, 23, 24, 13, 12, 28, 28, 12, 11, 32, 18, 25, 13, 11, 11, 13, 49, 39, 34, 16, 20, 24, 13, 13, 23, 32, 16, 14, 12, 15, 14, 11, 14, 21, 15, 14, 47, 11, 20, 10, 15, 10, 28, 16, 17, 25, 23, 14, 12, 25, 21, 31, 23, 19, 47, 37, 25, 32, 18, 14, 13, 46, 21, 23, 27, 10, 23, 14, 26, 29, 13, 25, 12, 29, 37, 15, 25, 9, 14, 22, 22, 23, 12, 20, 17, 13, 12, 29, 21, 18, 19, 15, 11, 16, 19, 39, 11, 12, 18, 13, 37, 20, 19, 43, 19, 41, 18, 40, 15, 15, 21, 11, 26, 30, 16, 15, 16, 18, 18, 36, 16, 10, 24, 24]",0.059012322686845385,0.14678265743927787,0.6447734012808749,4564.418,876.344,40.758,98139.348,3911.127,1022.723,2.37,4000,4000,71.88461538461539,32.284615384615385,0.20000000298023224,0.0010000000474974513,60.247723,-0.049714204,60.289642,0.31797618,0.038966414,0.6556061,0.0
196.0,10.0,45.01,45.01,77,1,8000,False,270,2,20906ef27b4a42b5b9187e704e71f91f,2020-08-16_04-44-56,1597553096,7.070979595184326,15.692878723144531,26836,ntozcc-dv-mlalo-vm,10.0.0.4,15.692878723144531,0,2,1e5b7_00001,1_lr=0.001,"[196.0, 83.0, 82.0, 16.0, 45.0, 17.0, 26.0, 22.0, 68.0, 116.0, 107.0, 35.0, 73.0, 76.0, 57.0, 15.0, 31.0, 53.0, 63.0, 23.0, 104.0, 52.0, 31.0, 100.0, 17.0, 62.0, 62.0, 26.0, 33.0, 54.0, 36.0, 93.0, 60.0, 74.0, 85.0, 17.0, 118.0, 44.0, 23.0, 27.0, 20.0, 18.0, 28.0, 94.0, 41.0, 21.0, 28.0, 52.0, 30.0, 81.0, 47.0, 139.0, 89.0, 76.0, 84.0, 23.0, 63.0, 51.0, 18.0, 10.0, 34.0, 17.0, 34.0, 27.0, 72.0, 35.0, 26.0, 10.0, 25.0, 39.0, 28.0, 29.0, 57.0, 11.0, 68.0, 44.0, 99.0, 20.0, 19.0, 43.0, 19.0, 41.0, 18.0, 40.0, 15.0, 15.0, 21.0, 11.0, 26.0, 30.0, 16.0, 15.0, 16.0, 18.0, 18.0, 36.0, 16.0, 10.0, 24.0, 24.0]","[196, 83, 82, 16, 45, 17, 26, 22, 68, 116, 107, 35, 73, 76, 57, 15, 31, 53, 63, 23, 104, 52, 31, 100, 17, 62, 62, 26, 33, 54, 36, 93, 60, 74, 85, 17, 118, 44, 23, 27, 20, 18, 28, 94, 41, 21, 28, 52, 30, 81, 47, 139, 89, 76, 84, 23, 63, 51, 18, 10, 34, 17, 34, 27, 72, 35, 26, 10, 25, 39, 28, 29, 57, 11, 68, 44, 99, 20, 19, 43, 19, 41, 18, 40, 15, 15, 21, 11, 26, 30, 16, 15, 16, 18, 18, 36, 16, 10, 24, 24]",0.05849056703412159,0.14089654318437794,0.6437984343543853,3964.97,1008.835,21.051,190017.51,3802.958,1051.813,2.258,8000,8000,74.32000000000001,32.60000000000001,0.30000001192092896,0.0010000000474974513,325.84875,-0.032837216,325.87518,0.21467341,0.021523083,0.5938798,0.0
200.0,10.0,68.97,68.97,37,1,12000,True,307,3,20906ef27b4a42b5b9187e704e71f91f,2020-08-16_04-45-03,1597553103,6.983785629272461,22.676664352416992,26836,ntozcc-dv-mlalo-vm,10.0.0.4,22.676664352416992,0,3,1e5b7_00001,1_lr=0.001,"[40.0, 125.0, 183.0, 200.0, 36.0, 69.0, 117.0, 48.0, 18.0, 129.0, 33.0, 142.0, 97.0, 106.0, 88.0, 132.0, 200.0, 191.0, 105.0, 94.0, 52.0, 185.0, 115.0, 15.0, 99.0, 79.0, 15.0, 85.0, 109.0, 177.0, 187.0, 115.0, 76.0, 125.0, 158.0, 28.0, 96.0, 57.0, 15.0, 31.0, 53.0, 63.0, 23.0, 104.0, 52.0, 31.0, 100.0, 17.0, 62.0, 62.0, 26.0, 33.0, 54.0, 36.0, 93.0, 60.0, 74.0, 85.0, 17.0, 118.0, 44.0, 23.0, 27.0, 20.0, 18.0, 28.0, 94.0, 41.0, 21.0, 28.0, 52.0, 30.0, 81.0, 47.0, 139.0, 89.0, 76.0, 84.0, 23.0, 63.0, 51.0, 18.0, 10.0, 34.0, 17.0, 34.0, 27.0, 72.0, 35.0, 26.0, 10.0, 25.0, 39.0, 28.0, 29.0, 57.0, 11.0, 68.0, 44.0, 99.0]","[40, 125, 183, 200, 36, 69, 117, 48, 18, 129, 33, 142, 97, 106, 88, 132, 200, 191, 105, 94, 52, 185, 115, 15, 99, 79, 15, 85, 109, 177, 187, 115, 76, 125, 158, 28, 96, 57, 15, 31, 53, 63, 23, 104, 52, 31, 100, 17, 62, 62, 26, 33, 54, 36, 93, 60, 74, 85, 17, 118, 44, 23, 27, 20, 18, 28, 94, 41, 21, 28, 52, 30, 81, 47, 139, 89, 76, 84, 23, 63, 51, 18, 10, 34, 17, 34, 27, 72, 35, 26, 10, 25, 39, 28, 29, 57, 11, 68, 44, 99]",0.0581998694914428,0.1377691577648483,0.640919808388768,3733.29,1071.441,14.49,276057.59,3769.228,1061.225,2.398,12000,12000,75.05,32.60000000000001,0.44999998807907104,0.0010000000474974513,448.0025,-0.017146217,448.01456,0.28412235,0.011186037,0.5737436,0.0
